rid,suburbname,postcode,state,startdate,enddate,lastupdate,msoid,centroidid,shapeuuid,changetype,processstate,urbanity,Shape__Length,Shape__Area,cadid,createdate,modifieddate,lganame,councilname,abscode,ltocode,vgcode,wbcode
6000,MIDDLETON GRANGE,2171,2,20160920094552,30000101000000,20160921102647.245000,4628,,a8085fe6-2889-3beb-8f56-5b3907de547a,M,,U,7980.793451507846,3671987.476505931,151980845,20051222203701,20160920093800,,,,,,
6141,CLONTARF,2093,2,20161012161142,30000101000000,20161012161215.087000,63,,e31cf9b2-d926-3382-9115-05278d88adaa,M,,U,9098.927122478966,1254468.60982171,108029597,19950728000000,20161012161100,,,,,,
6179,BREAKFAST POINT,2137,2,20161018142145,30000101000000,20161018143427.725000,2365,,7fead988-a889-3355-abb8-1b52cfc8f98e,M,,U,4108.359645495094,748962.1800583752,108031899,19950728000000,20161018141912,,,,,,
6245,PEMULWUY,2145,2,20161025092942,30000101000000,20161025093426.866000,2307,,70ad2f1b-f2d3-39f8-b64c-d95372801a8d,M,,R,12425.63833081797,5376409.815989678,108031841,20040211090812,20161025092921,,,,,,
6349,HINCHINBROOK,2168,2,20161109095747,30000101000000,20161109111201.187000,3613,,9c36fbaa-2212-3715-9ae9-39336cdf14ce,M,,U,13215.568482124952,4786431.679156861,108033147,19950728000000,20161109095708,,,,,,
6353,LEN WATERS ESTATE,2171,2,20161109095747,30000101000000,20161109111201.375000,5936,,365b4481-8f54-3f4b-8bf1-d6e641f0e847,M,,U,7827.850466696343,1425570.6394136497,163493305,20091221145239,20161109095708,,,,,,
6495,RODD POINT,2046,2,20161130114643,30000101000000,20161130114659.596000,2368,,28f0e4f8-f79f-3ff8-b05f-245397e9bef5,M,,U,3558.9557539604057,546986.9978773821,108031902,19950728000000,20161130114620,,,,,,
6542,WENTWORTH POINT,2127,2,20161213112314,30000101000000,20161213112356.062000,5927,,259a090a-3ec9-3e2e-b060-b29c0c51b3f4,M,,U,4846.12918862035,825849.6651835913,163167272,20091012100501,20161213112226,,,,,,
6848,CASULA,2170,2,20170214111115,30000101000000,20170214111757.080000,142,,e61af44e-8022-3457-a018-f519aca66dca,M,,U,16246.353731155914,10038305.172221879,108029676,19950728000000,20170214110205,,,,,,
6850,GLENWOOD,2768,2,20170214072408,30000101000000,20170214073642.084000,1115,,49a09de5-d421-322a-927c-f4c4a37692ea,M,,U,12579.434922537044,7063702.185902738,108030649,19961029120240,20170214071835,,,,,,
6971,WAHROONGA,2076,2,20170307091644,30000101000000,20170307091720.654000,1198,,c66dc714-b1b3-3d9d-b9cd-25e68a1a0715,M,,U,29918.95696411197,14114921.394210655,108030732,19950728000000,20170307091601,,,,,,
7051,MARAYONG,2148,2,20170316125214,30000101000000,20170316130010.119000,3621,,0913f1f8-b7d5-3fef-abc4-ebab0d43c9a3,M,,U,9189.990057557681,3925567.6902520163,108033155,19950728000000,20170316124303,,,,,,
7486,CHATSWOOD,2067,2,20170519133430,30000101000000,20170519133441.946000,77,,82b07e91-10ad-3784-b2af-56f224772cbc,M,,U,16027.391405292663,7147177.93196483,108029611,19950728000000,20170519133403,,,,,,
7511,MATRAVILLE,2036,2,20170524091334,30000101000000,20170524091418.036000,87,,2a0655fe-8c64-3e58-9d4e-d7f04a11e4e8,M,,U,11965.249686362326,5281452.505970913,108029621,19950728000000,20170524091246,,,,,,
7579,BOSSLEY PARK,2176,2,20170530104403,30000101000000,20170530104423.315000,2468,,99e03460-2d73-3b92-a807-588a414b5ead,M,,U,12055.688947352292,6534975.306554042,108032002,19950728000000,20170530104347,,,,,,
7679,KINGS PARK,2148,2,20170615100049,30000101000000,20170615100246.806000,1308,,6e656cc9-349c-36f8-9df0-50eaf73d3e7d,M,,U,8762.20845006864,3764889.6185965915,108030842,19950728000000,20170615095902,,,,,,
7743,MORTLAKE,2137,2,20170623111559,30000101000000,20170623111618.822000,3522,,38108021-396c-39a3-89ab-673eb404433f,M,,U,4179.144190227128,352556.691359242,108033056,19950728000000,20170623111519,,,,,,
7846,TEMPE,2044,2,20170705161056,30000101000000,20170705161121.841000,100,,3704d559-67ed-39b1-bda0-ca90d15c237a,M,,U,7325.25881879899,2665054.91436661,108029634,19950728000000,20170705161017,,,,,,
7847,SYDENHAM,2044,2,20170705161056,30000101000000,20170705161121.899000,3569,,a9dd961e-9dec-365a-94ae-10d7a9f1e379,M,,U,2629.5460458827743,414190.51606974186,108033103,19950728000000,20170705161017,,,,,,
7965,MASCOT,2020,2,20170725132847,30000101000000,20170725132919.583000,3556,,d03d85e7-9d4b-31a9-8998-7d47e3f608ac,M,,R,29808.465625481465,17611092.15112703,108033090,19950728000000,20170725132807,,,,,,
7967,WAVERTON,2060,2,20170725161307,30000101000000,20170725161340.581000,66,,607da630-de80-34cb-9657-fa7f0e580c20,M,,U,7465.4610213259475,1042921.021135477,108029600,19950728000000,20170725161235,,,,,,
8047,BELLEVUE HILL,2023,2,20170807113239,30000101000000,20170807113304.492000,2392,,b439302b-03df-3692-b9d9-66d5dd394e49,M,,U,10409.775878269316,3448534.4264754723,108031926,19950728000000,20170807113218,,,,,,
8204,DAWES POINT,2000,2,20170825191727,30000101000000,20170825200151.779000,74,,23e12951-375f-3a63-9dd0-e54cd5e736a3,M,,U,3891.2108838792715,212652.29793270142,108029608,19950728000000,20170825191634,,,,,,
8205,MILLERS POINT,2000,2,20170825191727,30000101000000,20170825200151.869000,1231,,0843ed5e-5917-3436-a568-78515f1dc1ec,M,,U,3598.0529380811604,352127.26620799553,108030765,19950728000000,20170825191634,,,,,,
8212,NORTH EPPING,2121,2,20170828131643,30000101000000,20170828133808.506000,1213,,5846d46b-95fe-3576-a131-fe29c0eda1c0,M,,U,7885.128456973644,3320244.6735106446,108030747,19950728000000,20170828131636,,,,,,
8213,ROSEHILL,2142,2,20170828134353,30000101000000,20170828134455.051000,1225,,e8ecddd2-c443-305c-8834-0625e459c8bc,M,,U,11141.446416200703,5052310.474769075,108030759,19950728000000,20170828134332,,,,,,
8217,MAROUBRA,2035,2,20170828131232,30000101000000,20170828133806.380000,2416,,c5abb3fd-a926-38f2-80f4-d8c2eaf68f1d,M,,U,15706.078244410497,8780949.00950532,108031950,19950728000000,20170828131159,,,,,,
8218,RANDWICK,2031,2,20170828131232,30000101000000,20170828133806.460000,2417,,178b134e-7d12-342d-9de3-3c0769b1094d,M,,U,15841.258417283636,7803532.085991227,108031951,19950728000000,20170828131159,,,,,,
8219,SILVERWATER,2128,2,20170828134353,30000101000000,20170828134455.118000,3518,,dee9747e-9a3c-32bb-b86c-e94acc6ef161,M,,U,10699.11719164366,3912554.4946115813,108033052,19950728000000,20170828134332,,,,,,
8226,KINGS LANGLEY,2147,2,20170828165711,30000101000000,20170828165717.360000,151,,4346aaee-1ff5-356e-9800-84b58fc6e9cf,M,,U,11750.877602580314,5681001.090537592,108029685,19950728000000,20170828165704,,,,,,
8320,OAKHURST,2761,2,20170831120816,30000101000000,20170831121519.667000,165,,dda867a6-7d17-3a93-8600-4fbb08583f02,M,,U,8867.74222709083,2947606.1427489235,108029699,19950728000000,20170831120113,,,,,,
8535,MINCHINBURY,2770,2,20171005123053,30000101000000,20171005123323.635000,152,,c5e48d9a-45be-3353-b630-9f03948426e4,M,,U,15052.94308889608,6544062.396103776,108029686,19950728000000,20171005122812,,,,,,
8551,FOREST LODGE,2037,2,20171009112555,30000101000000,20171009112640.368000,97,,4f56b2d6-767e-3870-ac52-103f01b9fe58,M,,U,5218.18245901108,663167.4286528254,108029631,19950728000000,20171009112520,,,,,,
8907,ST IVES,2075,2,20171128141511,30000101000000,20171128141528.440000,2357,,56cb0971-c72a-3822-9e52-8a0212cbaf3e,M,,U,25985.40467062786,20720033.452333983,108031891,19950728000000,20171128141447,,,,,,
9033,PENSHURST,2222,2,20171218082824,30000101000000,20171218082857.276000,1250,,957e7b58-3a33-31b3-b91e-33e9aa5531ac,M,,U,11809.725384839181,3653838.7353282706,108030784,19950728000000,20171218082744,,,,,,
9197,PENDLE HILL,2145,2,20180117165348,30000101000000,20180117165407.390000,158,,fba54803-358e-3e6b-85f7-07e56b568e72,M,,U,8913.375735685577,2861703.1961723547,108029692,19950728000000,20180117165329,,,,,,
9198,OLD TOONGABBIE,2146,2,20180117165348,30000101000000,20180117165407.448000,159,,90591c2e-3689-34ce-b56f-d98533c1e2c0,M,,U,9107.93841530761,1837360.9414206077,108029693,19950728000000,20180117165329,,,,,,
9549,GLENDENNING,2761,2,20180309152658,30000101000000,20180309153534.203000,1307,,c630aca0-aed6-3bc2-9534-77a7fae86a90,M,,U,11257.168696532362,5118740.474984476,108030841,19950728000000,20180309151626,,,,,,
9551,DOONSIDE,2767,2,20180309152658,30000101000000,20180309153534.339000,2463,,58fadfe3-3a41-3284-9631-325517ff3ce1,M,,U,17976.28234717392,8622404.763380583,108031997,19950728000000,20180309151626,,,,,,
9601,MOUNT LEWIS,2190,2,20180319142139,30000101000000,20180319142442.385000,3552,,f4a6f41b-e438-3931-a37c-01cb86d3a464,M,,U,3639.0394411656353,457601.49331871397,108033086,19950728000000,20180319141722,,,,,,
9625,CARNES HILL,2171,2,20180322153904,30000101000000,20180322154203.994000,5947,,fe70e845-ef83-35b8-ba40-cb83f98931e5,M,,U,7128.9305477519865,1794384.9788885755,163861768,20100402145808,20180322153746,,,,,,
9714,NORTHMEAD,2152,2,20180405122643,30000101000000,20180405122709.031000,1207,,61d39c0b-7c53-3de9-8553-a5ac5a063110,M,,U,18034.79313101255,6227960.286544893,108030741,19950728000000,20180405122548,,,,,,
9876,LONGUEVILLE,2066,2,20180427102144,30000101000000,20180430084842.576000,1217,,611414b6-c42b-309c-98cd-16bb855fe843,M,,U,7173.566589408608,1416271.5918046422,108030751,19950728000000,20180427102022,,,,,,
9986,HILLSDALE,2036,2,20180514104212,30000101000000,20180514104234.420000,2400,,25b37824-68d0-3d7d-97e2-0bd6f20c1d0d,M,,U,4132.285123013308,783292.171476326,108031934,19950728000000,20180514104040,,,,,,
9989,EASTGARDENS,2036,2,20180514104212,30000101000000,20180514104234.608000,4612,,e59f22b2-736c-3583-a259-22666edb75bf,M,,U,4800.049617547785,779846.6834781035,108034146,19990503084701,20180514104040,,,,,,
10130,HENLEY,2111,2,20180530143555,30000101000000,20180530143614.690000,3526,,b145d675-3e42-3e58-a0be-eba55c078292,M,,U,3749.2003111459967,390505.3697337983,108033060,19950728000000,20180530143501,,,,,,
10135,LINLEY POINT,2066,2,20180530144005,30000101000000,20180530144008.255000,60,,3bb9e382-2775-3a58-9a50-33057ffbd998,M,,U,2558.5487984333063,279170.2603905253,108029594,19950728000000,20180530143946,,,,,,
10191,BANKSTOWN AERODROME,2200,2,20180607110534,30000101000000,20180607120018.502000,81,,ca1748ec-ddbe-359b-a338-6d58bfde275a,M,,R,12337.609196186791,5424811.49509365,108029615,19950728000000,20180607110351,,,,,,
10291,NORTH BONDI,2026,2,20180619153543,30000101000000,20180619153608.811000,3394,,155230cd-d6fe-341e-bb9d-7e29264f90b7,M,,U,7807.999470862329,1824504.0239692354,108032928,19950728000000,20180619153455,,,,,,
10300,LUGARNO,2210,2,20180621083909,30000101000000,20180621084601.082000,92,,f231fefc-0ee2-3d71-b71a-14453efa4507,M,,U,10417.973803040582,5017491.276491381,108029626,19950728000000,20180621082851,,,,,,
10504,ALFORDS POINT,2234,2,20180717152725,30000101000000,20180717153206.543000,1267,,db6b9ec9-98a7-340c-9fe0-c3a896a32239,M,,U,10834.61307524938,4613396.429889492,108030801,19950728000000,20180717152237,,,,,,
10536,DULWICH HILL,2203,2,20180720161600,30000101000000,20180720161825.719000,3567,,54002a30-9d7a-3bdb-b89a-21d517930478,M,,U,8612.900381269284,3028432.968135973,108033101,19950728000000,20180720161309,,,,,,
10553,EASTWOOD,2122,2,20180724164857,30000101000000,20180724164918.846000,3525,,e39769a5-5711-3931-86b4-48e3b1904536,M,,U,16624.117254276243,7539812.597661113,108033059,19950728000000,20180724164808,,,,,,
10630,ARTARMON,2064,2,20180801165900,30000101000000,20180801170234.237000,1233,,5aca21fe-9b92-32dc-9c95-97ecd92f78c9,M,,U,8738.064022420831,3683468.878104326,108030767,19950728000000,20180801165514,,,,,,
10759,GORDON,2072,2,20180820142802,30000101000000,20180820142805.969000,1199,,733a1d75-13a3-374e-aec4-f94dac5f5be1,M,,U,15774.084334620795,5493060.993332722,108030733,19950728000000,20180820142720,,,,,,
